brandname,pid,pname,age,tags,repurchased,like_c,concern_list,skin_type,score,date,text
에스티로더,32710,퓨처리스트 리퀴드 파운데이션,26,[],1,0,"각질,피부톤",중성,5,2018-05-24,"저한테는 인생 파데 제품이에요.
커버력은 기대하시면 안되고, 전반적으로 톤 보정이 잘 되고 촉촉하게 발립니다.
다크닝도 심하지 않고 무너지는 것도 예뻐서 계속 데려갈 템 입니다."
에스티로더,32710,퓨처리스트 리퀴드 파운데이션,24,[],0,0,"잡티,피부톤,트러블",중성,3,2018-05-24,촉촉하다해서 산 파운데이션 사람마다 다른 것 같아요 일단 전 비추 .. 냄새가ㅠㅠ 고무? 비슷한 냄새에 커버력도 없고 그렇게 촉촉한지도 모르겠어요 지속력은 좋은 듯도 하고 .. 그닥 추천하진 않아요 냄새 쩔어요 .. ㅋㅋㅋ
겔랑,31779,란제리 드 뽀 파운데이션 SPF20 PA+,24,"['지속력좋은', '무너짐예쁜', '백화점파데', '추천템']",0,2,"각질,건조함,트러블",중성,4,2018-05-24,제일 밝은 색임에도 전 보통 21호 쓰는데 무난해요 더 밝은 분들이 쓰긴 좀 그럴것같아여 겨울에 썼을때도 무난하게 잘 썼어요 커버력이 엄청 좋지는 않지만 무너짐이 예뻐서 자주 손이 갔어요 두루두루 쓰기 괜찮을것같아요 겨울에 써도 크게 건조함은 못느꼈는데 최근 피부가 뒤집어졌을때 바르니까 조금 건조했어요 #지속력좋은 #무너짐예쁜 #백화점파데 #추천템 
입생로랑,32776,르땡 엉크르 드뽀 SPF18 PA+++,24,"['잉크파데', '세미매트', '무너짐예쁜']",0,1,"각질,건조함,트러블",중성,3,2018-05-24,21호가 쓰기엔 조금 밝았어요 처음에 발랐을때보다 조금 무너져야 더 예쁜 제품인데 이상하게 제 피부에서는 날라가더라구요 집에와서 클렌징워터 사용해서 닦아내면 피부에 남아있는게 없어요 중간에 무너질땐 예쁜데 그 이후로 사라지는 느낌..? 커버력도 별로 없고 용기가 특이하고 귀엽긴한데 사용하긴 좀 불편해요 냄새로 호불호 갈릴향이고 세미매트한 마무리인데 꼭 테스트해보고 구매하세요#잉크파데#세미매트#무너짐예쁜
마몽드,36299809,올 스테이 파운데이션,24,"['지속력좋은', '커버력좋은', '추천템']",0,1,"각질,건조함,트러블",중성,4,2018-05-24,샘플 써보고 본품구매했어요 일단 약간 두껍게 발리는 느낌은 있는데 커버력도 어느정도 괜찮고 요즘 트러블때문에 피부가 민감해지고 건조하기까지한데 트러블이 더 나지도 않았고 기초만 잘 해주면 뜨지도 않았어요 각질부각도 없진않지만 덜하고 무너짐도 괜찮고 가격대비 괜찮아요 여름파데로 잘 쓸듯해요 #지속력좋은 #커버력좋은 #추천템 
에스티로더,6087742,리-뉴트리브 울트라 래디언스 메이크업 SPF15 PA+++,24,"['지속력좋은', '커버력좋은', '인생템', '추천템']",1,0,"모공,각질,건조함",복합성,5,2018-05-24,"평소 에스티로더더블웨어 쓰다가
한번 써봤는데 더블웨어보다 덜 건조하고
피부표현도 너무 예뻐보여서 너무 잘쓰고 있는 제품이에요
평소 단독파데는 안쓰는데
이건 단독으로도 바르는 제품이에요! #지속력좋은 #커버력좋은 #인생템 #추천템 "
에뛰드하우스,27108,플레이 101 스틱 파운데이션,27,"['촉촉한', '커버력좋은']",0,0,"모공,잡티,건조함",건성,3,2018-05-24,"크리미하고 말그대로스틱이라 작고 잘들어가서 좋고 
부드럽고 피부를 작은결점 하나커버하기에좋은스틱파데에용
컨실러같은 커버력이있어서 바르기가좋았어요 
수정메이크업할때 이용하기좋겟구나싶어요 
생각보다 용량이 큰편입니다 들뜸없구 화사해지는 얇고고르게퍼바를수있는스틱파데 #촉촉한 #커버력좋은 "
미샤,32266,미사 초보양 비비크림 SPF30 PA++,27,['추천템'],0,3,"주름,잡티,트러블",건성,4,2018-05-09,"이 제품은 저~엉말 유명한 제품이죠 미샤의 스테디셀러인 이제품! 화장품의 관심있는 분들이면 없는 분이 없을정도로 유명한 제품인데요 저도 친언니를 통해 알게된 제품이에요
랑콤 뗑미라클을 사용했는데 이건 색은 너무 예쁜데 커버력이 너무 없어서 초보양 섞어줬더니 완전 굿굿! 그 이후로 항상 그렇게 사용하고 있습니다 초보양은 색이 너무 잿빛이여서 단독으로 사용하긴 좀 힘든데 섞어서 사용하기엔 너무 좋은제품이에요 #추천템 "
미샤,32266,미사 초보양 비비크림 SPF30 PA++,33,[],0,0,"모공,잡티,트러블",복합성,2,2018-04-26,"이거 진짜 하도 다들 인생템 인생템 하길래 샀더니
젤 밝은 컬러샀는데도 핑베 잿빛 컬러에... 바르면 약간 토인됨
ㅋㅋㅋㅋ 은은한윤광이나 커버력은 좋은데
컬러가 진짜... 다크닝 쩔고 암튼 이게 왜 인생템인지 의문인부분
양도 드릅게 많아 진짜 언제 다쓰죠????"
미샤,32266,미사 초보양 비비크림 SPF30 PA++,22,"['지속력좋은', '커버력좋은', '촉촉한', '인생템', '추천템']",0,0,"모공,잡티,민감성",복합성,5,2018-04-13,"이 제품은 제가 더블웨어를 단독으로는 못사용하겠다고 판단하여 미루고미루다가 구입을 했습니다..!! 
결론을 먼저 말씀드리죠.!.! 사람들이 꿀조합꿀조합하는데에는 다 이유가 있숩니다..! 최고에요 
더블웨어 살릴수있게 되었어요.!! 더블웨어 살리고 싶으신분!! 꿀조합의 길로 들어오세용!! 노란끼도 없어지고! 최고에용!! #지속력좋은 #커버력좋은 #촉촉한 #인생템 #추천템 "
미샤,32266,미사 초보양 비비크림 SPF30 PA++,25,"['비비크림', '파운데이션']",0,0,"모공,주름,민감성",건성,4,2018-03-29,"잿빛 안돌게 리뉴얼됐다고 해서 구매해봤어요
다른 호수는 사용해보지않아서 잘은 모르겠지만 
잿빛이 빠졌다는건 잘 모르겠어요. 파데랑 비교하면 확실히 탁하긴하네요ㅠㅠ 근데 촉촉하고 쫀쫀해서 좋긴하더라구요 
커버력도 은근있구...화사함을 포기할수없는 저는 파데랑 섞어쓰고 있어요. 파데도 덜 뜨는것같고 좋아요 
21호였다면 더 잘사용했을것같아요 

#비비크림#파운데이션 섞어쓰기 좋은템"
미샤,32266,미사 초보양 비비크림 SPF30 PA++,25,"['지속력좋은', '자연스러운', '촉촉한', '쫀쫀한', '인생템', '추천템']",1,2,"모공,건조함,피부톤",중성,5,2018-03-19,"기존 21, 23호 잘 사용했던 제품이라 이번 22호 나오자마자 구매했어요
잿빛이 사라져서 그런지 기존 호수보다는 자연스럽고, 단독으로 사용해도 좋았어요
쫀쫀하게 발리고 다크닝도 별로 없고 지속력도 괜찮고 뭐 하나 부족한게 없는 제품이에요
23, 21호부터 22호까지 제 돈 주고 몇통씩 사서 사용했는데 돈이 아깝지 않네요
다 비우더라도 또 재구매 할 것 같아요 #지속력좋은 #자연스러운 #촉촉한 #쫀쫀한 #인생템 #추천템 "
미샤,32266,미사 초보양 비비크림 SPF30 PA++,27,[],1,0,"모공,트러블,피지과다",복합성,5,2018-03-06,제 인생 비비라고 말 할 만큼 좋아서 벌써 5개 넘게 이용중입니다. 매트하지않고 적당히 촉촉하고 지속력과 커버력도 너무 좋아서 끊을 수 없는 비비크림입니다.
미샤,32266,미사 초보양 비비크림 SPF30 PA++,27,"['지속력좋은', '커버력좋은', '자연스러운', '촉촉한', '인생템']",1,1,"모공,주름,피부톤",복합성,4,2018-03-02,"한율파데와 섞어바르면 꿀조합이라는 말을 듣고 쓰고 있는데 정말 찰떡궁합이에용!!
조금 뻑뻑하거나 건조한 파데 유형을 사용하실때 초보양 비비를 섞어서 사용하시면 매끄럽고 부드럽게 바르실수 있어용 #지속력좋은 #커버력좋은 #자연스러운 #촉촉한 #인생템 "
미샤,32266,미사 초보양 비비크림 SPF30 PA++,28,[],0,0,"각질,주름,잡티",중성,3,2018-02-25,샘플 써보고 괜찮은 것 같아 구매했어요. 화사한 비비는 아니지만 적당히 커버력도 있고 다크닝이 적어 구입했어요. 무난하게 쓰기 좋은 것 같아요.
미샤,32266,미사 초보양 비비크림 SPF30 PA++,26,"['지속력좋은', '커버력좋은', '추천템']",0,0,"모공,트러블",지성,5,2018-01-30,"진짜 ㅋㅋㅋㅋ말이필요없는 갓보양입니다!
솔직히 색이 좀 안예쁜데
저는 그래서 노란파데랑 섞어발라요
그럼 진짜 초ㅣ고!!! 색빼고 완벽해요
 #지속력좋은 #커버력좋은 #추천템"
미샤,32266,미사 초보양 비비크림 SPF30 PA++,22,"['윤기나는', '촉촉한', '인생템', '추천템']",0,1,"모공,각질,트러블",복합성,5,2018-01-30,"쫀쫀한 비비크림의 극치!!
하도 좋다는 후기가 많아서 사봤는데 정말 좋더라고요
색상이 약간 어둡다는 평도 있었는데 저한테는 잘 맞았어요!
제가 노란 편이고 21호 색상이 맞는 것도 있고 밝은 것도 있는 정도의 피부인데
이게 비비크림 특유의 회색기가 살짝 돌아서 오히려 저의 노란 피부가 환해지는 느낌?!
커버력도 좋은 편이고 진짜 쫀쫀하게 표현돼서 윤기 좌르르 나요
저는 조금만 짜서 얇게 펴발라주는데 그러면 내 원래 피부가 좋은 것처럼 보여요! 그래서 도저히 다 쓸 기미가 안 보이기도 하네요ㅋㅋ #윤기나는 #촉촉한 #인생템 #추천템"
미샤,32266,미사 초보양 비비크림 SPF30 PA++,25,"['지속력좋은', '커버력좋은', '자연스러운', '쫀쫀한', '촉촉한', '인생템', '추천템']",0,0,"모공,건조함,피부톤",중성,5,2018-01-23,"샘플 써보고 너무 좋아서 본품 샀어요!! 처음에 손등에 짰을 때 너무 회색빛이라 뜨헉!했는데 생각보다 회끼돌지않고 자연스러웠어요
제형도 엄청 쫀쫀해요
브러쉬에 먹일 땐 꾸덕한 크림? 버터? 그런 느낌이었는데 무겁지 않고 얇게 발리고 모공도 잘 가려주고 얼굴에 촥 붙어요
광도 예쁘게 돌고 피부가 건강해보여서 좋았어요
그리고 저한텐 지속력도 좋고 무너짐도 거의 없어서 진짜 베이스메이크업 제품 중 인생템이에요!! #지속력좋은 #커버력좋은 #자연스러운 #쫀쫀한 #촉촉한 #인생템 #추천템"
미샤,32266,미사 초보양 비비크림 SPF30 PA++,30,"['자연스러운', '촉촉한', '인생템', '추천템']",0,3,"모공,트러블,피지과다",복합성,5,2018-01-10,"#자연스러운 #촉촉한 #인생템 #추천템 
커버력 좋은 파데랑 섞어 바르면 꿀피부 됩니다. 이 좋은 비비크림을 왜 이제야 샀는지..... 각질 심해서 항상 화장 뜨는거 걱정했었는데 초보양이랑 섞어 바르면 촉촉해서 전혀 안떠요 너무 좋아요.파데랑 섞으면 초보양의 잿빛도는거를 파데가 잡아주니까 괜찮아요"
미샤,32266,미사 초보양 비비크림 SPF30 PA++,25,[],0,2,"각질,건조함,트러블",건성,4,2018-01-10,"무난하고 좋아요~ 단독으로 발라도 이쁘고
섞어 발라도 좋아요! 파데는 커버력이 별로 없는데, 초보양이랑 섞어쓰면 커버력도 높여주고 밀착력, 지속력까지 높여줘서 좋습니다 ❤️"
미샤,32266,미사 초보양 비비크림 SPF30 PA++,22,"['지속력좋은', '커버력좋은', '촉촉한', '인생템', '추천템']",0,0,"주름,건조함",건성,4,2018-01-02,회색끼가 좀 있는 거 빼고는 미샤 유명템인 만큼 정말 괜찮아요!!!!약간 21호 치고 밝은 감이 있지만 다른 파운데이션이랑 섞어쓰기에도 좋고 밀착이나 커버력같은 경우 괜찮았어요 #지속력좋은 #커버력좋은 #촉촉한 #인생템 #추천템 
미샤,32266,미사 초보양 비비크림 SPF30 PA++,26,[],1,0,"잡티,건조함,민감성",건성,4,2017-12-13,"초보양은 로드샵 비비중에 제일 좋아요! 
성분도 착하고 리뉴얼되면서 잿빛색이 많이 없어져서 화사하게 표현할 수 있어요"
미샤,32266,미사 초보양 비비크림 SPF30 PA++,20,"['커버력좋은', '촉촉한', '추천템']",0,0,"잡티,건조함,민감성",복합성,4,2017-12-11,"솔직히 잿빛이돌긴하거든?
근데 민감한 피부가써도 괜찮고 나는 무엇보다 섞어 쓰니까 애 진가를 발휘하더라 그냥써도 빤딱빤딱 거리고 젛은데 데블래스팅이나 래디언스나 케이트섞어도 꿀이였음 화장대에 하나쯤있으면 바를꺼없다싶으면 얘찾을꺼같고 손이많이가눈제품 #커버력좋은 #촉촉한 #추천템 "
미샤,32266,미사 초보양 비비크림 SPF30 PA++,39,[],0,0,"모공,주름,건조함",건성,5,2017-12-05,최고 입니다 제일 좋아요
미샤,32266,미사 초보양 비비크림 SPF30 PA++,28,"['지속력좋은', '촉촉한', '추천템']",1,0,"모공,피부톤,트러블",건성,4,2017-12-05,"21호 써 봤는데 제가 홍조가 있어서 그런지 심하게 잿빛 돈다는 생각은 안 들었어요.
저는 피부가 건조해서 베이스 제품 쓸 때 각질이 일어나느냐 아니냐가 관건인데 초보양은 그 점에서 괜찮은 편입니다. 그렇다고 끈적이지도 않고 적당히 부드럽게 마무리되네요.
다른 파운데이션과 섞어쓰는 용도로는 정말 좋고, 이것만 단독으로 써도 괜찮습니다. 초보양 파운데이션으로 이 질감에 색만 노랗게 출시되면 좋겠어요. #지속력좋은 #촉촉한 #추천템 "
미샤,32266,미사 초보양 비비크림 SPF30 PA++,26,[],0,0,"건조함,피부톤,민감성",복합성,3,2017-12-03,"요거 샘플로 많이 써봤던 제품이에요!!
한방성분이 있다 그래서 피부에 좋을 것.. 같기도하고
다크닝이 없고 지속력 짱짱해서 좋았어요!!
미샤 비비 중 가장 좋은 제품이라고 할 정도!!"
미샤,32266,미사 초보양 비비크림 SPF30 PA++,28,"['무난템', '추천템']",1,0,"모공,잡티,피부톤",지성,4,2017-12-03,"#무난템 #추천템
무난하면서도 추천하는 비비크림
잘 맞는 사람은 진짜 잘맞는다는 초보양!
저도 몇통째 사용했어요
파데랑 섞어쓰면 더 좋은 것 같아요
잿빛이 조금 있지만, 예쁘게 무너져서 사용하기 좋음"
미샤,32266,미사 초보양 비비크림 SPF30 PA++,22,"['지속력좋은', '커버력좋은', '자연스러운', '촉촉한', '추천템', '인생템']",1,5,"모공,건조함,피부톤",건성,5,2017-07-15,"제가 피부화장을 잘 안하는 편 이거든요.. 피부화장을 하면 막 들뜨고 건조해 보이고 트러블이 엄청 나고 해서요...
근데 이게 이렇게 좋다는 얘길 들어서 한번 써봤눈데 좋더라구욯ㅎㅎ 건조하게 발리지도 않고 자연스럽게 발리는... 지속력도 꽤 하구요 그래서 이거 벌써 3통?째 비우고 있습니다 #지속력좋은 #커버력좋은 #자연스러운 #촉촉한 #추천템 #인생템 "
미샤,32266,미사 초보양 비비크림 SPF30 PA++,0,[],0,5,"모공,건조함",건성,3,2016-09-03,"자연스럽게 커버되고 발림성도 좋고
무엇보다 젤 중요시 생각하는 
다크닝현상이 없어서 좋아요^^*
한방성분이 함유된 비비라서 그런지
가격대는 좀 있지만 무난하게 사용하기 좋은아이에여:)"
미샤,32266,미사 초보양 비비크림 SPF30 PA++,24,"['촉촉한비비', '지속력좋은', '화사한', '인생탬비비', '다크닝없는비비']",0,4,"모공,각질,민감성",중성,5,2017-09-27,제 피부가 밝은편인데 발랐을때 딱 화사하고 촉촉해서 좋아요 은은한광도나서 건성분에게 잘맞을거같아요 기초 ㅈ잘해주시고 발라주면 꿀광피부 연출 가능해용 그리고 민감한 피부인데 전혀 자극없습니다#촉촉한비비#지속력좋은 #화사한 #인생탬비비 #다크닝없는비비
미샤,32266,미사 초보양 비비크림 SPF30 PA++,24,"['지속력좋은', '자연스러운', '커버력좋은', '인생템', '추천템']",1,4,"모공,각질,트러블",지성,5,2017-06-14,"파데 고렴이(뗑미,래스팅실크,더블웨어)써봣는데요 전 이게 가성비 갑이라고 생각해요!
모공끼임도 적구요! 무엇보다 무너짐이 정말예뻐요 ㅠㅠ
회색빛이라고 싫어하시는 분들 몇 계시는데 리뉴얼 된 후로 잿빛많이 줄었구요! 소량만 얇게 펴바르면 잿빛 안돌아요!
커버력도 뗑미랑 래스팅실크보다 좋았어요 ㅎㅎㅎ
다른 파데들이랑 섞어쓰기에도 강추입니당 :) #지속력좋은 #자연스러운 #커버력좋은 #인생템 #추천템 "
미샤,32266,미사 초보양 비비크림 SPF30 PA++,28,[],0,3,"모공,트러블,피지과다",복합성,2,2017-09-29,"리뷰수정하러왔어요..
촉촉하게발리고 커버도괜찮고 무난하게 쓰기좋았는데 어느날부턴가... 땡땡하고 아픈 화농성여드름들이 나기시작해요..  이비비가 추출물이많아서 트러블유발할수있다던데 제가그런것같아요..  이비비가 성분괜찮은편이라 이것때문인지모르고 계속썼더니 지금 피부진짜심해서 사람만나기도 싫을정도ㅜㅜ 휴 뭘써야될까"
미샤,32266,미사 초보양 비비크림 SPF30 PA++, ,"['지속력그닥', '커버력좋은', '자연스러운', '조금촉촉한', '인생템', '추천템', '은근히비추템']",1,3, , ,4,2017-06-10,저는 이거 1~2년째 쓰고있거든요~? 물론 재구매한 제품이고요 지금 2~3개째 쓰고있는거같아요 그만큼 저한테 잘 맞았고 커버력도 꽤있고 자연스럽기도 해서 저한텐 인생템이였어요 이 비비가 어떻게보면 촉촉하기도 하고 매트하기도해요 그래서 건성분들이 쓰실려면 기초탄탄히해주셔야해요 지속력은 중정도 입니다. 처음에 홍조 잘 가려주다가 시간지나면 잿빛때문에 어두운감이있어서 수시로 수정화장해줘야합니당 #지속력그닥 #커버력좋은 #자연스러운 #조금촉촉한 #인생템 #추천템 #은근히비추템
미샤,32266,미사 초보양 비비크림 SPF30 PA++,20,[],0,2,"모공,민감성,피지과다",지성,4,2017-09-21,좋아요!! 살짝 기름올라오는건 있는데 발릴때 건조하지않고 잘 먹어요!!! 무너짐이 그렇게 예쁜거같진않지만손많이가는 제품이에요!
미샤,32266,미사 초보양 비비크림 SPF30 PA++,25,"['비추템', '촉촉한']",0,2,"건조함,아토피",건성,2,2017-08-03,"저는 별로.... 매우 별로.... ㅜㅜㅜㅜ 색상이 제일 별로에요 
촉촉한건 정말정말 좋은데 색상이 에러났습니다
회색빛이에요 회색빛... 화장 한건데 이게 한건지.. 더 어두워지는 마법 ㅜ ㅜ
이만칠천원주고 사지는 않았지만 저는 .. 비추입니다 #비추템 #촉촉한 "
미샤,32266,미사 초보양 비비크림 SPF30 PA++,16,[],0,2,"잡티,건조함,피부톤",건성,1,2017-07-22,네그냥 회색ㅃㅇ~~~~~~~
미샤,32266,미사 초보양 비비크림 SPF30 PA++,24,"['커버력좋은', '지속력좋은', '자연스러운', '촉촉한']",1,2,"모공,건조함,민감성",건성,4,2017-03-13,"#커버력좋은 #지속력좋은 #자연스러운 #촉촉한 
커버고 좋고 광나고 더블웨어랑 같이쓰면 도자기피부됨
살짝어두워서 섞어쓰면 좋은것같아요
건성이쓰기에뎌 좋아요"
미샤,32266,미사 초보양 비비크림 SPF30 PA++,25,[],1,2,"모공,피부톤,피지과다",중성,5,2016-09-07,"고등학교때부터 쓰던 비비크림!! 바르자마자 쫀쫀하게 발려서 이건 사야돼!!!!!!!!느낌이 팍 왔던 친구
어느덧 인생의 동반자가 됬네요..학생때 이 제품을 바르고 점심시간에 낮잠한번 자고 일어나면 더 뽀샤시한 얼굴이 되서 신기했던 비비크림. 지금도 이만한 애가 없네요 모공이 넓고 요철이 심한편인데 이 친구는 코부분도 오돌토돌 많이 안올라와서 엄마랑 쓰는중!"
미샤,32266,미사 초보양 비비크림 SPF30 PA++,37,"['초보양비비', '커버력좋은', '인생템']",1,2, , ,5,2016-07-08,"피부가 안좋아서 이것저것 조금씩 손대는 스탈인데 초보양 비비크림 4개째 쓰고있어요
얼마전 면세찬스로 메이크업포에버HD파운데이션을 구매 써봤으나 그닥 ㅠㅠ  초보양 한개쓰고 지겨워서 다른거쓰다 다시돌아옴  가격이좀비싼감은있으나 세일때사면 괜찮음 근데 항상 세일기간놓침 #초보양비비 #커버력좋은 비비#인생템"
미샤,32266,미사 초보양 비비크림 SPF30 PA++,29,[],1,1,"건조함,민감성",건성,5,2017-09-30,몇년동안 꾸준히써온비비에요~ 쫀쫀하면서 피부가좋아보이고 민감한데 별다른트러블없어서 좋았어요
미샤,32266,미사 초보양 비비크림 SPF30 PA++,25,['비추템'],0,1,"모공,주름,트러블",복합성,2,2017-09-22,민감성인 제 피부에는 안맞더라구요ㅠㅠ 바로 트러블이생겼어요.... 많이들 추천해서 샀었는데 저한테는 별로.. #비추템 
아리따움,32587,풀커버 비비크림 SPF50+ PA+++,32,[],1,1,"모공,잡티",복합성,4,2018-04-26,"쟁여놓은게 많아서 아직 이 구버전을 쓰고있어요 ㅎㅎ 7통은 쓴거같아욬ㅋㅋㅋㅋ 화장 좀 제대로 해야겠다! 싶은 날에 요 비비크림을 사용하는데요, 트러블자국이 많은 제 얼굴도 잘 가려줄만큼 커버력 정말 좋구요! 미스트 뿌린 퍼프로 팡팡팡 두드려주면 화장도 잘 먹고 좋습니다 :)"
아리따움,32587,풀커버 비비크림 SPF50+ PA+++,20,['커버력좋은'],1,0,"모공,트러블,피지과다",지성,3,2018-04-13,"지속력은꽤괜찮았는데다크닝이너무심했던비비죠
커버는잘되구좋았어요 #커버력좋은 "
아리따움,32587,풀커버 비비크림 SPF50+ PA+++,26,['비추템'],0,0,"모공,트러블",복합성,2,2017-12-26,"세일할 때 궁금해서 사봤어요!
진짜 별로 ㅠㅠㅠ 일단 커버가 막 잘되지 않고, 엄청 떠요.
촉촉하게 발릴 것이라는 기대는 노노.. #비추템 "
아리따움,32587,풀커버 비비크림 SPF50+ PA+++,28,['쏘쏘템'],0,0,"모공,잡티,건조함",중성,3,2017-12-21,"커버력은 ㅓㅇ어어어어어어ㅓ엉어ㅓㅁ청 좋아요
여드름쟁이나 피부 흉터 있는분들이 바르면 좋을 제품인데요!
커버력이 워낙 좋다보니 조금만 두껍게 발라도 피부 엄청 답답해보이고 ㅠ
다크닝, 무너짐, 갈라짐 현상이 좀 있슴당 #쏘쏘템"
아리따움,32587,풀커버 비비크림 SPF50+ PA+++,26,"['커버력좋은', '추천템']",1,1,"모공,각질,피지과다",중성,4,2017-12-12,"예전에 2주용 키트받아서 사용하다가 괜찮길래
세일할때 구매해서 썼어용 #커버력좋은 #추천템 
커버력도 좋고 얼굴이 화사해지고 너무 만족!
풀커버  파데보단 비비크림이 훨씬 낫더라구요
무너짐도 크게나쁘진 않았어욥 제피부엔!!!
전 할인해서 사서 가격대비 만족!"
아리따움,32587,풀커버 비비크림 SPF50+ PA+++,26,"['아리따움', '리뉴얼전', '비비크림', '커버력좋은']",0,0,"모공,트러블",복합성,4,2017-12-12,"리뉴얼 전에 구매해서 사용해봤어요! 커버 잘되고 달걀피부 만들어주는 제품이었어요. 저렴한 가격에 용량이 짐승이라서 학생들이 쓰기에 좋을 것 같아요~
#아리따움 #리뉴얼전 #비비크림 #커버력좋은 "
